sku,qty,id,level
1E+11,20,2A100,B
1E+11,1,2A100,C
1E+11,14,2A100,D
1E+11,15,2A100,G
1E+11,13,2A101,B
1E+11,10,2A101,C
1E+11,6,2A101,E
1E+11,26,2A101,F
1E+11,15,2A101,G
1E+11,20,2A102,B
1E+11,17,2A102,C
1E+11,5,2A102,D
1E+11,25,2A103,B
1E+11,20,2A103,C
1E+11,12,2A103,D
9.99997E+11,2,2A103,E
1E+11,11,2A103,F
1E+11,6,2A103,G
1E+11,19,2A104,B
1E+11,20,2A104,C
1E+11,16,2A104,E
1E+11,15,2A104,G
1E+11,11,2A105,B
1E+11,29,2A105,C
1E+11,10,2A105,E
1E+11,24,2A105,G
1E+11,13,2A106,B
1E+11,18,2A106,C
1E+11,14,2A106,D
1E+11,11,2A106,E
1E+11,1,2A106,F
1E+11,6,2A107,B
1E+11,15,2A107,C
1E+11,15,2A107,D
1E+11,15,2A107,E
1E+11,16,2A107,F
1E+11,6,2A107,G
1E+11,3,2A107,H
1E+11,18,2A108,B
1E+11,5,2A108,C
1E+11,4,2A108,D
1E+11,9,2A108,E
1E+11,28,2A108,F
1E+11,11,2A109,C
9.99997E+11,14,2A109,D
9.99998E+11,8,2A109,E
1E+11,16,2A10,D
1E+11,5,2A10,E
1E+11,10,2A10,F
1E+11,1,2A10,G
1E+11,19,2A110,B
1E+11,4,2A110,C
1E+11,16,2A110,D
1E+11,17,2A111,B
1E+11,11,2A111,C
1E+11,7,2A111,D
1E+11,6,2A111,E
1E+11,7,2A111,F
1E+11,2,2A111,H
9.99999E+11,26,2A112,B
1E+11,1,2A112,C
1E+11,11,2A112,D
1E+11,8,2A112,E
1E+11,7,2A112,F
1E+11,11,2A113,B
1E+11,2,2A113,C
1E+11,21,2A113,E
1E+11,15,2A113,G
1E+11,18,2A114,B
9.99999E+11,20,2A114,C
1E+11,9,2A114,D
1E+11,19,2A114,E
1E+11,8,2A114,F
1E+11,18,2A115,B
1E+11,3,2A115,C
1E+11,11,2A115,D
1E+11,1,2A115,E
1E+11,5,2A115,F
1E+11,10,2A116,B
1E+11,9,2A116,C
1E+11,20,2A116,D
1E+11,10,2A116,E
9.99999E+11,9,2A116,F
9.99999E+11,20,2A116,G
9.99999E+11,22,2A117,B
1E+11,16,2A117,C
1E+11,1,2A117,D
1E+11,11,2A117,E
1E+11,12,2A117,F
1E+11,5,2A117,G
1E+11,5,2A118,B
1E+11,5,2A118,D
1E+11,16,2A118,F
1E+11,7,2A119,B
1E+11,5,2A119,C
1E+11,1,2A119,D
1E+11,21,2A119,E
1E+11,22,2A119,F
1E+11,28,2A11,B
1E+11,29,2A11,C
1E+11,25,2A11,D
1E+11,21,2A11,E
1E+11,20,2A11,F
1E+11,3,2A120,B
1E+11,18,2A120,C
1E+11,5,2A120,D
1E+11,56,2A120,E
1E+11,18,2A120,F
1E+11,20,2A120,G
1E+11,7,2A121,A
1E+11,19,2A121,B
1E+11,12,2A121,C
1E+11,12,2A121,D
1E+11,7,2A121,F
1E+11,8,2A121,G
1E+11,9,2A121,H
1E+11,15,2A122,B
1E+11,16,2A122,C
1E+11,18,2A122,D
1E+11,15,2A122,E
1E+11,5,2A122,F
1E+11,6,2A122,G
1E+11,8,2A122,H
1E+11,6,2A123,A
1E+11,15,2A123,B
1E+11,20,2A123,C
1E+11,7,2A123,D
1E+11,5,2A123,E
1E+11,9,2A123,F
1E+11,11,2A123,G
1E+11,13,2A123,H
1E+11,13,2A124,C
1E+11,7,2A124,D
1E+11,5,2A124,E
1E+11,44,2A124,F
1E+11,10,2A124,G
1E+11,1,2A124,H
1E+11,11,2A125,A
1E+11,20,2A125,B
1E+11,2,2A125,D
1E+11,8,2A125,E
1E+11,10,2A125,F
1E+11,21,2A125,G
1E+11,4,2A126,C
1E+11,3,2A126,D
1E+11,7,2A126,E
1E+11,5,2A126,F
1E+11,9,2A126,G
1E+11,3,2A127,A
1E+11,9,2A127,C
1E+11,15,2A127,D
1E+11,10,2A127,E
1E+11,2,2A127,F
1E+11,11,2A127,G
9.99998E+11,13,2A127,H
1E+11,9,2A128,B
1E+11,29,2A128,C
1E+11,8,2A128,D
1E+11,6,2A128,E
1E+11,12,2A128,F
1E+11,12,2A128,G
1E+11,10,2A128,H
9.99999E+11,25,2A129,A
1E+11,19,2A129,B
1E+11,9,2A129,C
1E+11,17,2A129,D
1E+11,15,2A129,E
1E+11,10,2A129,F
1E+11,21,2A129,G
9.99998E+11,15,2A129,H
9.99999E+11,14,2A12,C
1E+11,6,2A12,D
1E+11,10,2A12,E
1E+11,15,2A12,F
1E+11,15,2A130,C
1E+11,29,2A130,D
1E+11,12,2A130,E
1E+11,15,2A130,F
1E+11,7,2A130,G
1E+11,7,2A130,H
1E+11,34,2A131,B
1E+11,4,2A131,C
1E+11,20,2A131,D
1E+11,19,2A131,E
1E+11,2,2A131,G
1E+11,5,2A131,H
9.99999E+11,2,2A132,C
1E+11,9,2A132,D
1E+11,3,2A132,E
1E+11,10,2A132,F
1E+11,13,2A132,G
1E+11,12,2A132,H
1E+11,12,2A133,A
1E+11,17,2A133,C
1E+11,21,2A133,D
1E+11,27,2A133,E
1E+11,12,2A133,F
1E+11,16,2A133,G
1E+11,10,2A133,H
1E+11,12,2A134,B
1E+11,15,2A134,C
1E+11,25,2A134,D
1E+11,25,2A134,E
1E+11,9,2A134,F
1E+11,10,2A134,G
1E+11,20,2A135,B
1E+11,10,2A135,C
1E+11,19,2A135,D
1E+11,19,2A135,E
1E+11,19,2A135,F
1E+11,20,2A135,G
1E+11,2,2A136,B
1E+11,32,2A136,C
1E+11,12,2A136,D
1E+11,6,2A136,F
1E+11,14,2A136,G
1E+11,10,2A136,H
1E+11,20,2A137,B
1E+11,28,2A137,D
1E+11,6,2A137,E
1E+11,17,2A137,G
9.99998E+11,10,2A137,H
1E+11,10,2A138,B
1E+11,7,2A138,C
1E+11,10,2A138,D
1E+11,15,2A138,E
1E+11,11,2A138,F
1E+11,20,2A139,B
1E+11,15,2A139,C
1E+11,5,2A139,D
1E+11,7,2A139,F
1E+11,16,2A139,G
1E+11,2,2A13,B
1E+11,15,2A13,C
1E+11,16,2A13,D
1E+11,26,2A13,E
1E+11,18,2A13,F
1E+11,21,2A13,G
1E+11,12,2A140,B
1E+11,13,2A140,C
1E+11,17,2A140,D
1E+11,15,2A140,E
1E+11,20,2A140,F
1E+11,20,2A140,H
1E+11,30,2A141,B
1E+11,15,2A141,C
1E+11,15,2A141,D
1E+11,5,2A141,G
1E+11,15,2A142,B
1E+11,35,2A142,C
1E+11,15,2A142,D
1E+11,19,2A142,E
1E+11,13,2A142,F
1E+11,5,2A142,G
9.99998E+11,44,2A142,H
1E+11,10,2A143,B
1E+11,35,2A143,C
1E+11,15,2A143,D
9.99997E+11,2,2A143,E
1E+11,18,2A144,B
1E+11,15,2A144,C
1E+11,10,2A144,D
1E+11,17,2A144,E
1E+11,18,2A144,F
9.99997E+11,5,2A144,G
1E+11,10,2A145,A
1E+11,22,2A145,B
1E+11,7,2A145,D
1E+11,1,2A145,E
1E+11,32,2A145,F
1E+11,9,2A145,G
1E+11,20,2A146,A
1E+11,10,2A146,B
1E+11,10,2A146,C
1E+11,17,2A146,D
1E+11,13,2A146,E
1E+11,25,2A146,F
1E+11,9,2A146,G
1E+11,20,2A146,H
1E+11,6,2A147,A
9.99999E+11,5,2A147,B
1E+11,5,2A147,F
1E+11,6,2A147,G
1E+11,18,2A147,H
1E+11,10,2A148,A
1E+11,18,2A148,B
1E+11,8,2A148,D
1E+11,10,2A148,E
1E+11,10,2A148,F
1E+11,16,2A149,A
1E+11,20,2A149,B
1E+11,4,2A149,D
1E+11,5,2A149,F
1E+11,5,2A149,G
1E+11,20,2A149,H
1E+11,5,2A14,B
1E+11,1,2A14,C
