column	path
2A1	"M1814.5,78.3c0-25.9,0-51.5,0-77.6c17.2,0,34.4,0,51.8,0c0,25.8,0,51.5,0,77.6C1849.2,78.3,1832.1,78.3,1814.5,78.3z"
2A10	"M1572.6,234.5c17.3,0,34.2,0,51.6,0c0,26.2,0,52.4,0,78.8c-17.1,0-34.2,0-51.6,0C1572.6,287.2,1572.6,261.1,1572.6,234.5z"
2A11	"M1512.6,0.5c16.6,0,32.9,0,49.6,0c0,25.9,0,51.7,0,77.8c-16.5,0-32.9,0-49.6,0C1512.6,52.5,1512.6,26.8,1512.6,0.5z"
2A12	"M1562.3,313.4c-16.6,0-32.9,0-49.6,0c0-26.2,0-52.4,0-78.8c16.5,0,32.8,0,49.6,0C1562.3,260.8,1562.3,286.8,1562.3,313.4z"
2A13	"M1502.3,78.4c-16.6,0-32.9,0-49.6,0c0-25.8,0-51.7,0-77.8c16.4,0,32.8,0,49.6,0C1502.3,26.4,1502.3,52.1,1502.3,78.4z"
2A14	"M1452.7,234.6c16.6,0,33,0,49.7,0c0,26.3,0,52.4,0,78.7c-16.5,0-32.9,0-49.7,0C1452.7,287.2,1452.7,261.2,1452.7,234.6z"
2A15	"M1442.4,0.6c0,25.9,0,51.5,0,77.6c-16.5,0-33,0-49.8,0c0-25.8,0-51.5,0-77.6C1409.1,0.6,1425.5,0.6,1442.4,0.6z"
2A16	"M1442.3,313.4c-16.6,0-32.9,0-49.6,0c0-26.2,0-52.4,0-78.8c16.5,0,32.9,0,49.6,0C1442.3,260.8,1442.3,286.8,1442.3,313.4z"
2A17	"M1330.5,78.3c0-26,0-51.6,0-77.6c17.3,0,34.4,0,51.9,0c0,25.9,0,51.6,0,77.6C1365.1,78.3,1348.1,78.3,1330.5,78.3z"
2A18	"M1382.3,313.4c-17.3,0-34.2,0-51.6,0c0-26.2,0-52.4,0-78.8c17.1,0,34.2,0,51.6,0C1382.3,260.8,1382.3,286.8,1382.3,313.4z"
2A19	"M1320.3,78.4c-16.6,0-32.9,0-49.6,0c0-25.9,0-51.7,0-77.8c16.5,0,32.8,0,49.6,0C1320.3,26.4,1320.3,52.1,1320.3,78.4z"
2A2	"M1866.4,234.6c0,26.3,0,52.2,0,78.6c-17.2,0-34.4,0-51.8,0c0-26.1,0-52.2,0-78.6C1831.8,234.6,1848.8,234.6,1866.4,234.6z"
2A20	"M1320.3,313.4c-16.6,0-32.9,0-49.6,0c0-26.2,0-52.4,0-78.8c16.5,0,32.9,0,49.6,0C1320.3,260.8,1320.3,286.8,1320.3,313.4z"
2A21	"M1210.5,78.3c0-25.9,0-51.5,0-77.6c16.5,0,33,0,49.8,0c0,25.8,0,51.5,0,77.6C1243.9,78.3,1227.5,78.3,1210.5,78.3z"
2A22	"M1260.3,313.4c-16.6,0-32.9,0-49.6,0c0-26.2,0-52.4,0-78.8c16.5,0,32.9,0,49.6,0C1260.3,260.8,1260.3,286.8,1260.3,313.4z"
2A23	"M1200.3,78.4c-16.6,0-33,0-49.7,0c0-26,0-51.7,0-77.7c16.5,0,32.9,0,49.7,0C1200.3,26.3,1200.3,52.1,1200.3,78.4z"
2A24	"M1200.3,313.4c-16.6,0-32.9,0-49.6,0c0-26.2,0-52.4,0-78.8c16.5,0,32.8,0,49.6,0C1200.3,260.8,1200.3,286.8,1200.3,313.4z"
2A25	"M1088.6,0.5c17.3,0,34.2,0,51.6,0c0,25.9,0,51.7,0,77.8c-17.1,0-34.2,0-51.6,0C1088.6,52.5,1088.6,26.8,1088.6,0.5z"
2A26	"M1088.6,234.5c17.3,0,34.2,0,51.6,0c0,26.2,0,52.4,0,78.8c-17.1,0-34.2,0-51.6,0C1088.6,287.2,1088.6,261.1,1088.6,234.5z"
2A27	"M1028.6,0.5c16.6,0,32.9,0,49.6,0c0,25.8,0,51.7,0,77.8c-16.4,0-32.8,0-49.6,0C1028.6,52.5,1028.6,26.8,1028.6,0.5z"
2A28	"M1078.4,234.6c0,26.3,0,52.2,0,78.6c-16.6,0-33.1,0-49.9,0c0-26.1,0-52.2,0-78.6C1045.1,234.6,1061.5,234.6,1078.4,234.6z"
2A29	"M968.5,78.3c0-26,0-51.6,0-77.6c16.5,0,33.1,0,49.9,0c0,25.8,0,51.5,0,77.6C1001.8,78.3,985.4,78.3,968.5,78.3z"
2A3	"M1804.3,78.4c-16.7,0-33,0-49.7,0c0-26,0-51.7,0-77.7c16.6,0,33,0,49.7,0C1804.3,26.4,1804.3,52.1,1804.3,78.4z"
